timestamp_sec,tag_id,x_m,y_m,z_m,lateral_m
0.000,0,0.0392,0.0538,0.2838,0.0666
0.547,0,0.0392,0.0538,0.2838,0.0666
0.733,0,0.0761,0.1261,0.4994,0.1473
0.884,0,0.0857,0.1854,0.6875,0.2042
1.132,0,0.0820,0.2263,0.8033,0.2407
1.414,0,0.0876,0.3603,1.3054,0.3708
1.564,0,0.0945,0.3844,1.4890,0.3958
1.748,0,0.0843,0.4175,1.6597,0.4259
2.411,0,0.0843,0.4175,1.6597,0.4259
3.115,0,-0.0358,0.5358,2.9081,0.5370
3.271,0,-0.0358,0.5358,2.9081,0.5370
3.740,0,-0.0353,0.5273,3.0164,0.5285
3.889,0,-0.0681,0.5041,3.6273,0.5086
4.400,0,-0.1038,0.4816,3.6643,0.4926
4.400,2,0.1774,0.2958,0.8002,0.3449
4.400,3,-0.2193,0.2957,0.7944,0.3681
4.732,0,-0.1548,0.5763,4.1421,0.5967
4.732,2,0.1681,0.3120,0.8795,0.3544
4.732,3,-0.2264,0.3099,0.8661,0.3838
4.867,3,-0.2229,0.3266,0.9139,0.3954
5.040,0,-0.3667,0.7220,4.9627,0.8098
5.040,2,0.1257,0.3293,0.9667,0.3525
5.040,3,-0.2675,0.3293,0.9719,0.4243
5.186,0,-0.3667,0.7220,4.9627,0.8098
5.186,2,0.1257,0.3293,0.9667,0.3525
5.186,3,-0.2675,0.3293,0.9719,0.4243
5.733,0,-0.3257,0.7066,4.7604,0.7780
5.733,2,0.1265,0.3349,0.9833,0.3580
5.733,3,-0.2697,0.3392,1.0105,0.4333
5.908,2,0.2034,0.3518,1.1163,0.4063
5.908,3,-0.1892,0.3477,1.1069,0.3958
6.055,0,-0.0194,0.6812,5.2671,0.6814
6.055,2,0.2034,0.3518,1.1163,0.4063
6.055,3,-0.1892,0.3477,1.1069,0.3958
6.290,0,0.0102,0.8559,5.5315,0.8560
6.290,1,0.2025,-0.0039,1.1817,0.2025
6.290,2,0.1998,0.3689,1.1555,0.4196
6.290,3,-0.1937,0.3601,1.1285,0.4089
6.290,4,-0.1954,-0.0063,1.1570,0.1955
6.487,0,-0.0142,0.8648,5.5668,0.8649
6.487,1,0.1936,0.0003,1.1871,0.1936
6.487,2,0.1926,0.3682,1.1662,0.4155
6.487,3,-0.1979,0.3657,1.1558,0.4158
6.487,4,-0.2010,-0.0011,1.1843,0.2010
6.831,0,0.0147,0.8536,5.9306,0.8537
6.831,1,0.2106,-0.0048,1.3383,0.2107
6.831,2,0.2009,0.3650,1.2433,0.4166
6.831,3,-0.1904,0.3644,1.2272,0.4111
6.831,4,-0.1957,-0.0027,1.2482,0.1957
7.034,0,0.0173,0.8079,6.0375,0.8081
7.034,1,0.2113,-0.0159,1.3605,0.2119
7.034,2,0.2018,0.3548,1.2610,0.4082
7.034,3,-0.1896,0.3550,1.2453,0.4025
7.034,4,-0.1963,-0.0124,1.2683,0.1967
7.327,0,0.0173,0.8079,6.0375,0.8081
7.327,1,0.2113,-0.0159,1.3605,0.2119
7.327,2,0.2018,0.3548,1.2610,0.4082
7.327,3,-0.1896,0.3550,1.2453,0.4025
7.327,4,-0.1963,-0.0124,1.2683,0.1967
7.515,0,-0.0131,0.9013,6.0113,0.9014
7.515,1,0.1903,0.0050,1.2674,0.1903
7.515,2,0.1954,0.3740,1.2596,0.4220
7.515,3,-0.1949,0.3738,1.2417,0.4216
7.515,4,-0.2021,0.0076,1.2654,0.2022
7.911,0,-0.0125,0.9244,6.0224,0.9244
7.911,1,0.1903,0.0095,1.2690,0.1905
7.911,2,0.1954,0.3782,1.2598,0.4257
7.911,3,-0.1947,0.3787,1.2434,0.4258
7.911,4,-0.2022,0.0123,1.2678,0.2026
8.297,0,-0.0102,0.9223,6.0219,0.9223
8.297,1,0.1916,0.0095,1.2691,0.1919
8.297,2,0.1953,0.3785,1.2594,0.4259
8.297,3,-0.1948,0.3772,1.2412,0.4245
8.297,4,-0.2011,0.0110,1.2657,0.2014
8.495,0,0.0080,0.9143,6.0239,0.9144
8.495,1,0.1954,0.0080,1.2678,0.1956
8.495,2,0.1984,0.3763,1.2568,0.4254
8.495,3,-0.1913,0.3747,1.2396,0.4208
8.495,4,-0.1968,0.0088,1.2634,0.1970
8.774,0,0.0080,0.9143,6.0239,0.9144
8.774,1,0.1954,0.0080,1.2678,0.1956
8.774,2,0.1984,0.3763,1.2568,0.4254
8.774,3,-0.1913,0.3747,1.2396,0.4208
8.774,4,-0.1968,0.0088,1.2634,0.1970
9.072,0,-0.0095,0.9170,6.0327,0.9170
9.072,1,0.2048,0.0086,1.3505,0.2050
9.072,2,0.1953,0.3779,1.2606,0.4254
9.072,3,-0.1953,0.3755,1.2414,0.4232
9.072,4,-0.2007,0.0090,1.2657,0.2009
9.767,0,0.0043,0.9099,6.0135,0.9099
9.767,1,0.1959,0.0075,1.2756,0.1961
9.767,2,0.1979,0.3763,1.2587,0.4252
9.767,3,-0.1924,0.3745,1.2410,0.4211
9.767,4,-0.1974,0.0082,1.2635,0.1976
9.947,0,0.0006,0.8942,6.0197,0.8942
9.947,1,0.1988,0.0038,1.2970,0.1989
9.947,2,0.1970,0.3724,1.2559,0.4213
9.947,3,-0.1930,0.3707,1.2382,0.4180
9.947,4,-0.1983,0.0045,1.2613,0.1983
10.132,0,0.0090,0.8822,6.0060,0.8823
10.132,1,0.2080,0.0019,1.3406,0.2080
10.132,2,0.1982,0.3703,1.2539,0.4199
10.132,3,-0.1917,0.3682,1.2372,0.4151
10.132,4,-0.1961,0.0018,1.2593,0.1961
10.364,0,0.0097,0.8909,6.0143,0.8909
10.364,1,0.2110,0.0036,1.3570,0.2110
10.364,2,0.1986,0.3727,1.2565,0.4223
10.364,3,-0.1915,0.3693,1.2363,0.4160
10.364,4,-0.1958,0.0033,1.2589,0.1958
10.580,0,0.0070,0.8976,6.0040,0.8976
10.580,1,0.1957,0.0051,1.2655,0.1957
10.580,2,0.1982,0.3740,1.2563,0.4232
10.580,3,-0.1919,0.3716,1.2374,0.4182
10.580,4,-0.1965,0.0053,1.2596,0.1966
10.886,0,-0.0087,0.8818,5.9877,0.8819
10.886,1,0.2050,0.0019,1.3461,0.2050
10.886,2,0.1949,0.3707,1.2544,0.4189
10.886,3,-0.1948,0.3685,1.2359,0.4169
10.886,4,-0.1998,0.0025,1.2580,0.1998
11.101,0,-0.0096,0.8868,5.9761,0.8869
11.101,1,0.2063,0.0040,1.3535,0.2063
11.101,2,0.1945,0.3729,1.2560,0.4206
11.101,3,-0.1955,0.3695,1.2356,0.4180
11.101,4,-0.1995,0.0035,1.2575,0.1996
11.474,0,0.0147,0.8776,5.9916,0.8777
11.474,1,0.1985,0.0017,1.2704,0.1985
11.474,2,0.1992,0.3705,1.2552,0.4207
11.474,3,-0.1906,0.3668,1.2347,0.4134
11.474,4,-0.1946,0.0009,1.2578,0.1946
11.751,0,0.0067,0.8776,5.9968,0.8776
11.751,1,0.2096,0.0015,1.3501,0.2096
11.751,2,0.1975,0.3705,1.2547,0.4198
11.751,3,-0.1927,0.3669,1.2354,0.4144
11.751,4,-0.1961,0.0005,1.2576,0.1961
12.088,0,-0.0010,0.8351,5.9993,0.8351
12.088,1,0.2092,-0.0082,1.3614,0.2093
12.088,2,0.1966,0.3614,1.2551,0.4114
12.088,3,-0.1937,0.3583,1.2338,0.4073
12.088,4,-0.1979,-0.0077,1.2563,0.1980
12.264,0,-0.0010,0.8351,5.9993,0.8351
12.264,1,0.2092,-0.0082,1.3614,0.2093
12.264,2,0.1966,0.3614,1.2551,0.4114
12.264,3,-0.1937,0.3583,1.2338,0.4073
12.264,4,-0.1979,-0.0077,1.2563,0.1980
12.571,0,0.0107,0.8253,5.9837,0.8253
12.571,1,0.2111,-0.0094,1.3526,0.2113
12.571,2,0.1983,0.3598,1.2531,0.4109
12.571,3,-0.1919,0.3562,1.2336,0.4047
12.571,4,-0.1949,-0.0099,1.2550,0.1951
12.812,0,0.0107,0.8253,5.9837,0.8253
12.812,1,0.2111,-0.0094,1.3526,0.2113
12.812,2,0.1983,0.3598,1.2531,0.4109
12.812,3,-0.1919,0.3562,1.2336,0.4047
12.812,4,-0.1949,-0.0099,1.2550,0.1951
13.160,0,0.0066,0.8458,6.0080,0.8459
13.160,1,0.2098,-0.0051,1.3513,0.2099
13.160,2,0.1973,0.3639,1.2548,0.4140
13.160,3,-0.1928,0.3597,1.2339,0.4081
